,0
135,"Getting ready for showtime tomorrow .

#dabanggtournewdelhi #redrocksentertainment #jlnarena #jaevents JA Events… https://t.co/yA6lNteFg1"
136,"Now u see me .. Now u dont, But Delhi be ready to see me tomorrow . Be there ! https://t.co/UN2e9TshQG"
137,"Delhi tayyar ho na ! we are on the way to meet you . 

#dabanggtournewdelhi #redrocksentertainment #jlnarena… https://t.co/HrZuQWDQql"
138,Inke Aane se Race3 ka cast aur ho gaya jhakas @AnilKapoor @RameshTaurani #Race3 https://t.co/tPA5hxsBuK
139,Indore time to ride the #BeingHumanEcycle . Go today to Geeta Bhawan Square and get yourself one ! https://t.co/5kc1dNoDYY
140,Mera Naya photographer kaisa laga :) https://t.co/G0c0YGzToQ
141,"Yeh Zoya ke liye ... #DilDiyanGallan @TigerZindaHai @yrf 
https://t.co/aPthyqo7C5"
142,Chalo Dilli ab aap ki bari Swagat nahi karoge hamara. #dabanggtournewdelhi #redrocksentertainment #jlnarena… https://t.co/wSiRk4O4FX
143,Pedal your #BeingHumanEcycle when you want to and switch to the battery to cruise when you don’t feel like pedaling… https://t.co/NKC0cqma3X
144,"You all were wondering how I rode without pedaling into the stadium for my #HeroISL inauguration event, here’s ur r… https://t.co/WdSPx4TbSa"
145,See you Delhi today at #HTLS2017. Do not forget to watch it live! @htTweets https://t.co/9Q8edHzJW2
146,Race 3 team at the Bigg Boss House . https://t.co/xikOBaCbYF
147,SWAGat karo toh dil se karo aur swag se #SwagSeSwagat @TigerZindaHai @yrf https://t.co/c2ACDCfBfV
148,"Asli SWAG toh yeh raha! Kal dekho
#SwagSeSwagat @TigerZindaHai @yrf https://t.co/RSOcl0ecKd"
149,"Delhi be ready for the #Dabangg tour 10th of dec 2017
#dabanggtournewdelhi @REDROCKSENT #jlnarena @thejaevents… https://t.co/P9CW4IyPWS"
150,With Kerala’s shining star #Mammootty @indsuperleague https://t.co/w9hJqtV2Qx
151,All the best @IndSuperLeague. Looking forward to a great season. I am ready to rock the opening ceremony @starindia… https://t.co/QrGK2s9QZm
152,Lovely song . https://t.co/r0xUEPPPp3
153,.... and Race3 begins https://t.co/2TqNDGjLhD
154,last day of tiger zinda Hai shoot  n sharing with u 1st day of Race 3 ka pic in a bit ... https://t.co/e8QU9Hh0qP
155,"Today’s look from the #BiggBoss house. More pics on #BeingInTouch :

Link to Download : https://t.co/e7Y9wgavLo https://t.co/OVnO1GbVEr"
156,"Baki sab toh Theek Hai but look at how hot, cool, sweet, charming &amp; sexy is rameshji looking in this Race 3 ke team… https://t.co/RgMSY9VRzh"
157,"The time has come. Tiger is ready to roar! #TigerZindaHaiTrailer OUT NOW
  @TigerZindaHai @yrf  Link : https://t.co/78en6z6IXF"
158,Hope you have visited the #BeingHumanClothing store in #Jodhpur . If not then go check it out today ! https://t.co/TSnIkWb3hU
159,Radio TV n Night clubs ko mil Gaya naya hit song by t series. Great execution n c’graphy and fantastic performance… https://t.co/1d9u6bdOS0
160,Had a great stay at Naxian Collection in Naxos #Greece https://t.co/Z2RrMAzlCK
161,Tiger is Back ! #TigerZindaHai @TigerZindaHai https://t.co/8AeTL2vtR5
162,In Greece https://t.co/5OTwL7x9te
163,Chalo Dilli ab aap ki bari Swagat nahi karoge hamara. #dabanggtournewdelhi #redrocksentertainment #jlnarena… https://t.co/zdAaAeQF5d
164,"Paintings at my chalet at Bigg house set dehko #BeingInTouch pe Android Store: https://t.co/46iizrK9V0
iTunes Store… https://t.co/H3QyGtJrAx"
165,"Bigg Boss house ka gym dehkoge? Jao #BeingInTouch pe now-
Android Store : https://t.co/46iizrsz3s 
iTunes Store :… https://t.co/7pbiojzUrG"
166,"Exclusive images of Bigg Boss. Dehko sirf #BeingInTouch pe.
Android Store : https://t.co/46iizrsz3s 
iTunes Store :… https://t.co/chqFpIurif"
167,Wishing everyone a very Happy and Prosperous Diwali https://t.co/F3922eEXj2
168,Wapas bata raha hu  #UparwalaSabDekhRahaHai https://t.co/fiR0yF7q9D
169,Diwali Gift.... pasand aaya? Ab Christmas pe milna... #tigerzindahai https://t.co/ZRReba4oGQ
170,'Tigers bahut kam Zinda Hain’...Bina baji my mother frm ‘Maine pyar kyun Kiya’ has written n shot amazing pics in d… https://t.co/Fc2gfd4RhS
171,"Bhau ka naya film 
https://t.co/fSO3kYwchQ"
172,Congrats @aaysharma Now is the time for a lot of mehnat aur lagan. Wish you all success God Bless #AayushSharma
173,"Bigg Boss set ke unseen images only on #BeingInTouch - 
Android Store : https://t.co/46iizrK9V0
iTunes Store :… https://t.co/CYgwSJi90A"
174,"Dekho exclusive images from Bigg Boss set on #BeingInTouch -
Android Store : https://t.co/46iizrK9V0
iTunes Store :… https://t.co/3hROZ2kste"
175,Chalo Surat let me show you your new Being Human store at Godh Dod Road https://t.co/6v5CvQKYcV
176,Yaad Rakho ab #UparwalaSabDekhRahaHai https://t.co/5yHM8MV9pG
177,Kem Cho Surat . Being Human Store now open on Godh Dod Road. Go do your Diwali shopping now.
178,"sirf 9-10 se mila hu, i m sure 128 cr ki population k andar 28 cr to aise hone chahiye. #5YearsOfBeingHumanClothing… https://t.co/5hRLXWxAog"
179,RT @khanarpita: Look who's in the Office today ! https://t.co/cgzcITkiRt
180,Just a few years ago :) https://t.co/5cHhUCuXGL
181,"Aaj… abhi… isi waqt! Watch #Tubelight on @AmazonVideoIN 
https://t.co/LstdbYJFau https://t.co/A1tfU2Ltmp"
182,Bhai ka pyaar aur ek ghante ka intezaar - #Tubelight on @AmazonVideoIn today 5.30pm onwards https://t.co/iHL4mhH5C4
183,Tring Tring - #Tubelight on @amazonVideoIn - 5.30pm onwards ! https://t.co/agEiOwfNep
184,Oye Hello ! Haan yaha - Dekhna mat bhulna #Tubelight on @amazonVideoIn - Aaj 5.30 baje ! https://t.co/pGH9HIMb5s
185,Sab Tayyar ?!! Chalo dekhte hai #TubelightonStarGold @StarGoldIndia https://t.co/pAtq5mOSQn
186,Ek Ghanta ! Tubelight ke liye Tayyar ? #TubelightOnStarGold @StarGoldIndia https://t.co/XjQwjWIFB1
