,0
135,Anushka Sharma you are a girl after my own heart! Have always believed that the voiceless need to be spoken up for.… https://t.co/FlgolZtToB
136,"RT @RedFMIndia: #BendTheGender: @arjunk26 &amp; @mymalishka honored the daily heroes who fight for gender Equality @yrf 
https://t.co/GfpQOBYROf"
137,Amen! You speak my mind braaader:) https://t.co/4es2ANmh60
138,Thankyou Nishant and more power to who you are:) Stay inspired. https://t.co/EgbgBRGJtz
139,RT @arjunk26: The #bendthegender kinda morning with @RedFMIndia &amp; @mymalishka !!! Hearing inspirational true stories that will motivate all…
140,"We are bending the gender, #musically @arjunk26 and I with his wowsome effort on my show @RedFM_Mumbai . We will al… https://t.co/ctLfeZJkyf"
141,Arjun Kapoor #BendThegender @arjunk26 https://t.co/zIwUbNrIVU
142,What the wahtttt??? Awesome. Cannot wait for what next #AvengersInfinityWar No Kimsicle? @KarishmaWrites
143,Applauding the spirit that drives us one day at a time to Be the change. Thankyou Karan Gupta for a wonderful eveni… https://t.co/jPWMNnlVz4
144,#IAmWoman Awards #KGEF . Come back later to meet these amazing women. So honoured to be felicitated among them. https://t.co/tg1whjoSLZ
145,4 men on my balcony!!!! 2 more on their way!!!😳Uffff iss garmi mein naye ac ko lagaana. It’s not like any of them w… https://t.co/2R9h0oFJly
146,Well good on you. You watched:) https://t.co/lMsrwbthlF
147,"This workplace is fun;) @RedFM_Mumbai @iampritampyaare Gya, Pritam’s previous producer and our on-air super step-in… https://t.co/Ilb1CdJk8t"
148,Aam ke Aam listener ke naam! Sing me your fave folk song that you would like to pass on to gen next or the one that… https://t.co/1D1n6JTsPW
149,Thankyou for the acknowledgement and appreciation. I believe you too😘 https://t.co/Z0Jb3BDvOQ
150,"Speaking of ganne ke Khet, gaalis on girls, how my ‘Boyses’ is part of your lingo and mostly #VeereDiWedding!… https://t.co/Ajsec1BsFL"
151,I’ve always found marathi films very intimate. This one is also brave. Was so good to see this piece of work/ art… https://t.co/vnWcvmSRjU
152,#Nowwatching #Nude @RJFLive https://t.co/cp3oWNmhLa
153,No better joy than being on stage/screen/Radio and sharing life experiences and have people being inspired:) What a… https://t.co/jWUTu2KtoH
154,Thankyou To The Afternoon for making my morning:) @AfternoonNews https://t.co/YNr4qCKNaT
155,Feeling the phone is your partner’s actual partner? Are you feeling like a cyber widow/ widower?? You are not alone… https://t.co/2w5Z7ITvKH
156,Surely this one belongs to Captain Cool!! #cucumber as the commentator said😁 #RCBVCSK
157,This match😳😳😳 #RCBvCSK
158,See you guys there. My @malishkakeboys are very excited to be there 😃💃💃💃 https://t.co/QJrOIirAIq
159,The latest music host in town and a man who knows his musical shiite :) Slay @slimshetty . Lovely to hear you do yo… https://t.co/NfX1COpxVD
160,And I’m seeing you very soon:) This is a good one. https://t.co/8489g7UNAe
161,Watching the #Sanju trailer and the #VeereDiWeddingTrailer and I’m suddenly so looking forward to the movies. Looks… https://t.co/c2CXHc7xcc
162,Hahahahaha. When I was in my kg classses the teacher did an assignment for me. I remember being upset at that age b… https://t.co/ET7KPDYBEQ
163,A school in Coimbatore has given homework to parents this year during summer vacations! Should we be 😡 or should we… https://t.co/VIdWmiW6X9
164,"RT @RedFMIndia: .@arjunk26 opens up about his fantastic new initiative #BendTheGender to
@mymalishka  @yrf https://t.co/LDeTXEMua5"
165,V.D happy happy birthday:) Shine on buddy and stay exactly the way you are. It’s working ;) Lots of Love @Varun_dvn… https://t.co/dXFCjdZ5Xk
166,"Hey Saniaaaa, Tennis-cricket superstar? Ok ok this we discussed when your book released. May you be healthy and glo… https://t.co/YsHnQldz4N"
167,Ah! A cake by any other name... I just can’t imagine it. Happy Birthday to one of the men that makes Karishma a del… https://t.co/RacAsHYmUn
168,Quite a welcome party this:) Back after 2 weeks and It helps that we’ve also won the créme de la créme Awards at th… https://t.co/VJwrpybcSp
169,Geni(e)us!Thankyou Thankyou:)It is quite an honour. Now when am I coming to watch you belt out those powerful notes… https://t.co/nRn0SvGlBp
170,I know what I’m listening to tonight. RIP #Avicii :( https://t.co/bFmWTgZro7
171,No. RIP #Avicii https://t.co/3UofGvh3Ak
172,"Finally as today’s Mumbai Mirror said .... a Masterclass on the art, craft and science of Radio Jockeying:) So happ… https://t.co/kFoddc0Yh1"
173,Fully honoured! So many awards at our fave award night the #GoldenMikes. Thankyou to the jury for selecting me as R… https://t.co/wPrjJ4Mvk9
174,I’ll take that as a slip of the tip :) Thanks Kalyan:) https://t.co/zLm9gxuRXA
175,You my man... are a sweeetehhh:) Thankyou https://t.co/cPuG9DLq1r
176,#NewProfilePic https://t.co/qK5giaZMVD
177,Thankyou my friend:) https://t.co/197ggmkTDT
178,"RT @RedFM_Mumbai: . @mymalishka becomes ""RJ of the Year"" at #GoldenMikes https://t.co/QGUGvDq4KT"
179,💃💃💃 https://t.co/RZesh0MCZl
180,RT @e4mtweets: @RedFMIndia wins the Best Radio Station of the Year #GoldenMikes https://t.co/Z1HAh546Hv
181,🙏🏽 https://t.co/jD9Tg7XvcY
182,"At her age, you and I wouldn’t have imagined we’d have to hold a placard like this hoping for NO Rape. Thanks… https://t.co/36p3GF6OM5"
183,"Yes, when? #JusticeForAasifa https://t.co/WMTv4h058Q"
184,Reports being watched/read on repeat.Knots in stomach.Disgust. Sleep doesn’t come easy tonight. Prayers do.Just tha… https://t.co/xD52WGd9AG
185,"I am Hindustan. I am Ashamed. #JusticeForOurChild
8 years old. Gangraped. Murdered.
In ‘Devi’-sthaan temple.… https://t.co/cW0WBzXbks"
186,Thankyou:) Pls get in touch @malishkakeboys ! They’ll sort this out for us ok?:) https://t.co/66v8XEJHpc
187,Thankyou #Mumbai 😘 https://t.co/Qlz8lSSfyK
188,"RT @acef_apac: @mymalishka says, “We want to give the power back to the consumer make sure they are thinking with you” at #ACEF2018 https:/…"
189,Right now at the #Acef_apac Awards. This one as a Speaker this evening. What a privilege to talk about my medium an… https://t.co/Aj2YgRhZLX
190,Thanks Radhika. ❤️ https://t.co/nMZsE9ywwt
191,Thanks Shashaa for bothering with What-abouters for me🙏🏽 it wouldn’t change them ....or us. 😊Thabks for the support. https://t.co/BiDRciaZAn
192,Thankyou Parineeti:) I’ve missed you . It’s been so long. I hope you can be part of something beautiful like this w… https://t.co/cS6KqlQNci
193,And it’s done! We climbed on top of  the truck to make place for more plastic:) Thankyou Juhi for your faith and su… https://t.co/bo4VQL6NiW
194,A week back I had no idea where the truck would materialise from.I just had faith in my city! Today the truck is lo… https://t.co/HFrfGBj51G
195,Thankyou Juhi. Also for all the enlightening things you said on my show this morning! I wish you could come see off… https://t.co/HNDslchLuH
196,This morning @iam_juhi called to reveal things she knows about plastic. The fight is on ladies and gentlemen.… https://t.co/0VuIdMs5gu
