,0
125,@ronnielahiri @khamkhaArtist @shagunpannu Very soon. Babula party hogi for all babula fans
126,@Shibasishsarkar @khamkhaArtist @shagunpannu Thankq so much ! 😁
127,@vijaykesav @khamkhaArtist @shagunpannu Thankq sir
128,"@vrindaprasad @shagunpannu I’m hoping so too 😜 
Thankq so much 😁"
129,@Rakulpreet @khamkhaArtist @shagunpannu Fingers crossed. After all the love I have shown to the house now it’s time for it to reciprocate 😁
130,@BajpayeeManoj Thankq so much sir ! Hope you are doing good 😁
131,@anubhavsinha 🤗 Thankq !
132,"From a house to “HOME” 
#PannuDen #Happiness #Finally #Complete 
📷 @khamkhaArtist https://t.co/PCgP7HUkJG"
133,"RT @LargeShortFilms: When life compels you to practice what you preach. Coming soon #Nitishashtra, a perfect short starring @taapsee, direc…"
134,"A responsible actress won’t know of what didn’t happen, but surely of what happened with some tangible proof to sup… https://t.co/AbnJZh8DHr"
135,Really!!!?? Then y not mention the “source” instead of keeping it so ambiguous if u r so ‘responsible’ . Will help… https://t.co/1OaOQNsmRs
136,I wonder if it’s MY reason or the reason YOU wanted me to give to help your headlines! #IrresponsibleJournalism… https://t.co/gyNd51fJU7
137,Irresponsible journalism at its best yet another time. Wish u have  basic courtesy to contact the people concerned… https://t.co/NbbYo35tkl
138,"Fr the love of telling and being a part of some great stories, here is my first ever attempt to be a part of a shor… https://t.co/V85VdJ2PSY"
139,"क्यूँकि ...... 
हिन्दी हैं हम, वतन है… https://t.co/FxaJhjzRx1"
140,Thankq sir for such a noble advice. Ab is suggestion ke liye aapko kitna cheque aur kitna cash mein chahiye ???? https://t.co/SZvLJjXPMO
141,Abhi toh trailer bhi nahi aaya mere dost....… https://t.co/HyNSVRveZF
142,Will the power of social media be used for any social service ?????? Ab pata chalega.... jald hi.....
143,@konavenkat99 Fingers crossed 🤞
144,@RanaDaggubati And u always have my back I know :) can’t thank u enough! Hugs 🤗 meet soon
145,@KanikaDhillon Totally! Jab tak sab Meri ek movie ATLEAST dekh na le!
146,So here goes the title of my next release in Telugu #Neevevaroo https://t.co/DXIW5znWv3
147,Night shoots be like...... #Graveyardshift… https://t.co/hcfB0pLxXN
148,"@crhemanth Between , there one major shade that was missing from my filmography which will be presented pretty soon too 😁"
149,RT @anubhavsinha: The Spelling is MULK. In Hindi मुल्क। आपके पास extra नुक़्ता पड़ा है तो कहीं और लगा लो। यहाँ नहीं। Please.
150,@jkd18 @chintskap Saare frame dekhne aana director sahiba
151,@girishjohar @chintskap @anubhavsinha 🙏🏼
152,@OYERJALOK @AnubhavSinhaa Kuch to promotion humaara bhi hona chahiye na 😁
153,@KanikaDhillon 😘 usse pehle meet me otherwise I will take u to katghara!
154,"एक बार फिर अदालत होगी, कटघरा होगा, एक परिवार होगा, एक मानसिकता होगी और विरोध होगा। perhaps the most relevant topic… https://t.co/BIuEOhsQd8"
155,@sujoy_g U check your iMessage ! U didn’t answer my call n trying to act all humble here !!! U wait till I reach UK! 😡
156,"Today is probably the biggest testing day since years. Totally confused as to what to watch!  #KaranatakaVerdict ,… https://t.co/38oa3m97FR"
157,@Imangadbedi @diljitdosanjh Arre u r hands down winner in that! I am myself voting for u in that one !!
158,I tell myself this everyday.... now just waiting for the reason to please identify itself ! Soon! Please ! https://t.co/vGBNgmA5ob
159,@ronnielahiri @Imangadbedi Hahaha. My intentions were that... sadly this director didn’t let me 😂
160,"Come on Bedi! Let’s repeat the magic ! 💪🏼 this time with the hockey stick instead of bottle 🏑 
@Imangadbedi https://t.co/74R9gf5n11"
161,@SachinBandrana Wow! Never realised !
162,@EkAbhijeet Mere school mein sports khelte his India jersey pehenne ko nahi dete the. Aapka Kaunsa school tha?
163,Life में तो ये jersey कभी ना पहन पाये। अब इनकी कहानी के ज़रीए मौक़ा… https://t.co/ms7Xq4h5C7
164,"Thankq for the love. Get ready..... this beautiful, emotional and inspiring journey of a GOAL is about to begin....… https://t.co/T4kGUt1UDq"
165,@IChitrangda Time to get used to it !
166,@IChitrangda Thank u producer ma’am 🙏🏼😁
167,"For my undying love for sports and my country.
Meet Harpreet aka Preet – who believes in pushing the boundries. 
Kn… https://t.co/wtmdPGrGWT"
168,@anubhavsinha Hmmmmm 🤔
169,And that’s where I get it from..... atleast half of it 😁❤️ 👩‍👧#happymothersday #NoFilter #Inlife 🤷🏻‍♀️ https://t.co/AIQzzBhF91
170,Jab exactly samajh na aa raha ho if things are falling in place or… https://t.co/YnCrhdhNlj
171,@thespimit Now share the bet money please
172,@thespimit No
173,It’s simply SUPERB! Please open the flood gates at the box office for this one ! Rarely a film meets expectations n… https://t.co/66meb4I9yT
174,@sujoy_g Exactly my thoughts couple of hours ago !
175,@Nnidhisin Go kill it!!!! ❤️🤗
176,"Times when u feel things aren’t going the way u planned, every turn… https://t.co/tEGYArpEUE"
177,@ladasingh Literally! N it was worth it :)
178,Walked out of #102NotOut with tears in my eyes and joy in my heart. All the kids out there make sure you take your… https://t.co/FpzJfjEziF
179,"Dear Barcelona,
Perfect beaches, perfect water, perfect hotel, perfect food n when I thought it’s all looking too g… https://t.co/AAtGd1OTn0"
180,"Some pictures hold a moment... forever..... 
📷: https://t.co/8eTugGipVS 
#apsaraawards2018 #zeetelugu https://t.co/GGooMrr6zu"
181,@amishra77 For an Indian citizen to have an opinion he/she needn’t part or against any party so kindly keep me out… https://t.co/MkR545oEOZ
182,"@hrypr Sad I got to know this now, I would’ve reacted the same way then as well :)"
183,@hrypr Maybe not a perfect place for debate #taxpayersopinion
184,@hrypr I MUST have a right of opinion regardless :)
185,"#JustLikeThat
#TooGlamToGiveADamn https://t.co/nsiNoD8MXb"
186,"Dear Valencia,
6 hour long drive to reach you but all it took was a cup of coffee and some picture perfect locales… https://t.co/c85dZbbgxB"
187,Too much of a responsibility huh!!??? #readit #rereadit #readbeyondit
188,"Is this happening for real???!!!
This is what it has come to ???? I don’t even want to start with who to blame for… https://t.co/PZP7FSoCMi"
189,"Dear Seville,
What a long journey this motion sickness patient had to take to reach you and how perfectly worth it… https://t.co/nqXRFOkytW"
190,"Dear Madrid, 
You were my gateway to Spain. Beautiful cozy cafes, drastic temperature difference between night n da… https://t.co/mBSZM5Gnzu"
191,"Realised it’s been long I tried this detachment therapy called ‘traveling’ 
#HighlyRecommended #TakeABreak #Seville… https://t.co/oHhi1mzEv1"
192,"Combining my love for chocolate &amp; diamonds, this #MagnumxFarahKhan collab-collection is what dreams are made of!… https://t.co/PNgRzLyDfe"
193,A positive step towards a larger change should always be appreciated. Remember an avalanche began with just one sma… https://t.co/M9ZpjiWWCE
194,Finally! Get those worthless lives out out for good! #Justice https://t.co/ZOKysqLJB9
195,"Things I missed terribly last 6 months ......
#Holiday #BelatedBirthdayTrip #AnnoySibling #Puchi #MorePuchis… https://t.co/vWdMGVsXWu"
196,#TaapseeForMelange https://t.co/InuBxbJK1X
197,"#Repost @DevsB with get_repost
・・・
04.18.18 #TaapseePannu in @priyalprakash sari… https://t.co/KPkEnegk7e"
198,@StoryPicker HahahHha. Your article is more savage than my response I must say ! Thank u 💁🏻‍♀️
199,"Probably little bit of acting :) 
And it’s not so bad to look average, is it ? It’s the largest category in the wor… https://t.co/WqR1V0HgTY"
200,"Thr r some directors who guide u through n some who exhuberate such energy that u jst can’t help but b ur best, giv… https://t.co/td6kU62lU7"
201,"Dear Kashmir, 
You truly proved to be “Paradise” for me. Lost and found wali feeling became beautiful courtesy you.… https://t.co/jV7QF1SVay"
202,"#StateOfMind 
Last day on #Manmarziyaan and how badly I will miss venting out my madness “In the garb of” being Rum… https://t.co/zoLyBuLLOJ"
203,Wah wah 👏🏼👏🏼👏🏼 in Bhai sahab ki understanding ko standing ovation hai! Ikkis topo ki salaami aapko saamne rakh ke d… https://t.co/0he5RVQo3f
204,Wow ! That’s how we welcome our winners ! #Shame https://t.co/0XN9Ix1T4z
205,Congratulations @NSaina and @Pvsindhu1 u both make us so proud !!! What an amazing time for Indian Badminton 🏸 🥇🥈 #GC2018Badminton
206,💪🏼👏🏼 https://t.co/QhUk18oAmP
207,And the gold streak continues .... https://t.co/o8i84F4lIt
208,👏🏼👏🏼👏🏼👏🏼 https://t.co/VaaQOSEjh0
209,ਸਭ ਨੂੰ ਵੈਸਾਖੀ ਦੀਆਂ ਵਧਾਈਆਂ ! 🦁🐥🐤🐣🐝🐡🌕🏵 https://t.co/5zCodVPFMM
210,"When in Kashmir don’t forget to capture your 
“ये हसीन वादियाँ .... ये खुला आसमान” moment ..... https://t.co/ueEgLSeuQ3"
211,And she just won’t stop! What a woman !!! Hats off !! https://t.co/4jgQXnj5TZ
212,@RichaChadha @divyadutta25 @TripathiiPankaj 😘
