,0
98,"So #Sanju is coming just after 2 days. 
Hope Ranbir has some luck"
99,"We should be ASHAMED of ourselves, small countries like Nigeria, iceland, croatia having teams playing… https://t.co/Om4SfBdiGY"
100,"Good night guys. 

Do watch #NigeriaVsArgentina today

#FifaWorldCup18"
101,Blockbuster https://t.co/QUtAnAhEYY
102,"14 Followed, 4 Unfollowed me (monitored by https://t.co/ZIgtIQhsJR)"
103,RT @indiantweeter: Hungry from last night Swapan Debarma while walking along rail lines saw huge landslides have affected a KM of rail line…
104,"Good afternoon guys. 

Looks like Akki fans are very happy after long time 😂😂😂

#GoldTrailer"
105,Badumbaaa.   Good night https://t.co/oqQUoyH742
106,"My week on Twitter 🎉: 306 Mentions, 15.4K Mention Reach, 2.61K Likes, 473 Retweets, 75 New Followers. See yours wit… https://t.co/i8AsaN5jqj"
107,"My week on Twitter 🎉: 306 Mentions, 15.4K Mention Reach, 2.61K Likes, 473 Retweets, 75 New Followers. See yours wit… https://t.co/lVaumCJFCB"
108,RT @KapilMishra_IND: https://t.co/tAWgynnSHH
109,Worth thinking 👇👇👇👇👇 https://t.co/f2pnrYtNWW
110,"13 Followed, 5 Unfollowed me (monitored by https://t.co/ZIgtIQhsJR)"
111,This guy is different. He knows exactly what he is doing and importantly he knows how to mold @BeingSalmanKhan bhai… https://t.co/NElKdUp8Tu
112,"If @BeingSalmanKhan films can earn 150 cr nett with WAHIYAAT directors, wahiyaar story then imagine what he can do… https://t.co/AEAgqJWBQ3"
113,"Isko bolte hai TRAILER  #GoldTrailer

https://t.co/dPsKawxKf2"
114,"TERRIFIC TERRIFIC #GoldTrailer

What a trailer. All films MUST POSTPONE their release dates. 

Background score is… https://t.co/iQsBdfCYAO"
115,@ritikakshetrap1 @dare_beat @imVkohli @AnushkaSharma @BeingSalmanKhan @swachhbharat @iKamaIRKhan You may call this… https://t.co/OYMYZeknqd
116,"Teacher: Iss muhaavre ka udaahran do

‘Begaani shaadi mein Abdullah deewana’

Chantu: Hindustaaniyon ka raat bhar j… https://t.co/Pp17OyQ1VK"
117,"Our biggest fans this week: @SabinaLamba, @smojawala, @SunnyShines_. Thank you! via https://t.co/YW3ZTgIYAP https://t.co/JDKaN8m1zb"
118,"Goood morning people. 

M looking for the one who started trend #MondayMotivation 😡😡😡

Have a great week 🙏🙏🙏🙏👍👍"
119,Agle janam https://t.co/rpfwTnqeft
120,Much better than both as an actor https://t.co/OpnNnFsAK6
121,Because srk fans cant see him like the way he has shown https://t.co/gY7qT7Qi90
122,@basak_sanam M i naughty? Really 🤔
123,There is always a next time https://t.co/zN2WfvnTI4
124,200 cr lifetime. https://t.co/rBV5qymyGI
125,Awsome poster.  #FanneyKhan
126,120 to 140 cr lifetime https://t.co/YoGgPhokSw
127,"Not possible with #ज़ीरो #Zero for sure. 
He shd work on #Don3 ASAP https://t.co/TBXfakWlIt"
128,Respect women lukhhe https://t.co/KBtyiVJcX1
129,Everyone who does good.  We shd give chance to all. Wht say? https://t.co/7rHIfqmKKz
130,M good https://t.co/ixXw9VGJ3M
131,Its a clash. 50 to 60 cr nett would be HIT https://t.co/ba2pX4Zl07
132,8 wa ajooba https://t.co/hvgcFA1qID
133,Abe trailer aane de https://t.co/GkimHhxR9S
134,On cards. But not soon https://t.co/L7AMuFC2lT
135,Kyon ki logon ne bollywood ka majaak bana ke rakha hai https://t.co/SUOmdz2hOi
136,Time ke hisab se jaroorat ban jati hai https://t.co/nww94yL9QU
137,Will go #Aiyyary way https://t.co/tC2xJQqtt3
138,BJP for sure lekin मर मर के https://t.co/lX7GOX4DLa
139,Great PR https://t.co/aicQjkCB7C
140,"#Gold is looking good but too much competition will hamper. 
85 to 100 cr lifetime https://t.co/RomiEr1Jgd"
141,"Guys lets start Q &amp; A session. 

Use #AskPKRK"
142,Welcome to my new 12 followers and goodbye to 3 unfollowers (FREE stats by https://t.co/bpLMmfMPZE)
143,#Race3 collected strictly descent 5.5 cr nett in Saturday. Growth from friday was approx 30% due to single screens.… https://t.co/OmzIbOWX9o
144,"Happy Sunday guys. 

Lets have chat today evening 9PM

🙏🙏"
145,"Good night people. 
Stay hungry stay foolish 🙏🙏🤙🤙

Epic forward 😂😂🤪🤪 https://t.co/Hx1XHN4uOh"
146,FYI @BeingSalmanKhan https://t.co/uhjskST7OL
147,"Congratulations Team India. You always make us PROUD. 

Mauka mauka 😂😂😂

#IndVsPak #Hockey https://t.co/zA0gYu5F7c"
148,"RT @SrBachchan: T 2846 -"" उपलब्धि और आलोचना 
एक दूसरे के पूरक हैं !
आपकी उपलब्धियां बढ़ेगी तो 
निश्चित ही... आलोचना भी बढे़गी !""~ Ef

achie…"
149,@basak_sanam 🙏🙏👋👋
150,Last 24 Hours = 11 Followers and 8 Unfollowers (stats by https://t.co/ZIgtIQhsJR app)
151,BJP must be celebrating today #ShyamaPrasadMookherjee day like Diwali. 🙏🙏
152,"If #Sanju becomes flop then it can be big big problem to Ranbir. 

But i doubt it will be flop. Acting is superb. 🙏"
153,"Reports are out. 
In #Sanju , Hirani sahab tried to make Sanjay dutt great guy with NO mistakes. 

This cant be cal… https://t.co/oYnz1436uA"
154,"Good morning tweeple. 

Life is a RACE not #Race3 😂😂😂"
155,"BREAKING:-
कल रात से राम देव बाबा कोमा में है।सूत्रों का कहना है उन्होंने यह वीडियो देखा था।👇👇
😂😂😂 https://t.co/dNXroOadRJ"
156,"Good night people. Love you all. 

Happy weekend 👍👍 https://t.co/lsW1fRakE8"
157,Last 24 Hours = 11 Followers and 1 Unfollowers (stats by https://t.co/ZIgtIQhsJR app)
158,@basak_sanam True
159,"@basak_sanam Yeah i know these incidences. 
I condemn these both incidents. And I believe there are BAD elements in… https://t.co/n88GIVCwr9"
160,RT @BeingSalmanKhan: I thank every 1 who has gone to see #Race3 in the theaters n each n every 1 individually for watching race n glad that…
161,"All @BeingSalmanKhan fans,
Do you want Salman bhai to do film with blockbuster director @ARMurugadoss ??

#Sarkar2ndLook #Sarkar"
162,"Sir, with all due respect,

Alll fans want you to do HATKE movies with directors like SLB, Hirani, Farhan/Zoya, Kab… https://t.co/aL7gTI3yJu"
