,Unnamed: 0,0
193,193,Happy birthday future PM of India Shri @RahulGandhi 🙏🙏🙏🙏God bless you sir #HappyBirthdayRahulGandhi
194,194,"CORRECTION:-
#RACE3 collected 14 cr on Monday. Which is more than 50% drop from Friday. 

Tough times ahead. Hope t… https://t.co/B1aYi9a4Oe"
196,196,"Good morning people. 

Have a great day."
197,197,"Good night people. 
Love you all. https://t.co/TTD1Aw9W91"
198,198,"Dude, he can have clash with anyone but thing is other way around. 
No one want clash with Salman https://t.co/7o56s8yvAT"
199,199,"#Race3 having drop today but not much drop. 
Sure to collect about 18 cr + on Monday. 

Monday test PASSED with first class."
200,200,Badumbaaaaaa https://t.co/2idt5t8ozN
203,203,"RT @juniorbacchhan: Just in its first few days, #Race3 has collected more than all my movies combined. I’m talking about eggs, tomatoes and…"
204,204,Tu suspense me hi marega 😜😜 https://t.co/y7YmFradNf
205,205,Bhai tu mahaan hai.  Salute. 😂😂😂🙏 https://t.co/0KpbGPiemm
206,206,Last 24 Hours = 13 Followers and 9 Unfollowers (stats by https://t.co/ZIgtIQhsJR app)
207,207,"If people really want to compare stardom of Salman and Ranbir,

Compare #Race3 with #Besharam

Salman - 100 cr week… https://t.co/3D0ndy7aAJ"
208,208,"As usual Akki cant touch 150 crore even in CHINA despite widest release 😂😂😂

#ToiletEkPremKatha #TEPKInChina https://t.co/s2Wd2j7vW8"
210,210,"RT @taran_adarsh: Salman and #Eid - Opening Weekend biz...
2015: #BajrangiBhaijaan ₹ 102.60 cr
[Fri-Sun]
2016: #Sultan ₹ 180.36 cr
[Wed-Sun…"
211,211,"RT @taran_adarsh: TOP 5 - 2018
Opening Weekend biz...
1. #Padmavaat ₹ 114 cr [5-day *extended* weekend; select previews on Wed, released on…"
212,212,"RT @taran_adarsh: Salman versus Salman - first 3 days...
#BajrangiBhaijaan ₹ 102.60 cr [Fri-Sun]
#Sultan ₹ 105.53 cr [released on Wed; Wed-…"
213,213,"RT @taran_adarsh: Salman and #Eid - Opening Weekend biz...
2010: #Dabangg ₹ 48.50 cr
[Fri-Sun]
2011: #Bodyguard ₹ 88.75 cr
[Wed-Sun]
2012:…"
214,214,RT @taran_adarsh: And #Race3 scores a CENTURY... Crosses 💯 cr… Fourth Salman starrer to collect ₹ 100 cr mark in *3 days* [#BajrangiBhaijaa…
215,215,"With the success of  #Race3 means NO MORE EXPERIMENTS from @BeingSalmanKhan ???

Whats your take guys?"
216,216,"केजरीवाल अगर 2 मिनट से ज्यादा टोयलेट में बैठ जाए...तो उनकी पत्नी दरवाजा खटखटा के पूँछती है..

""अजी करने बैठे हो या धरने पे बैठे हो""😂"
217,217,RT @KapilMishra_IND: Do u regret attacking CS? https://t.co/AIRAcA1WBt
218,218,"Good night guys. 

#Race3 is doing HAVOC today at the box office. All set for huge Sunday. 

Its tomm which wil dec… https://t.co/NDynPrMKFq"
219,219,"RT @KapilMishra_IND: ना लोकतंत्र खतरे में हैं
ना हिंदुस्तान ख़तरे में हैं

चंद चोर उच्चकों की
दुकान ख़तरे में हैं"
220,220,"RT @KapilMishra_IND: केजरीवाल का एक ओर झूठ पकड़ा गया
एलजी के बारे में सुबह सुबह झूठ बोला

नीति आयोग में एलजी के जाने के बारे में बोला केजरी…"
221,221,RT @KapilMishra_IND: Kejriwal has attended his office only for 15 days in last 115 days
222,222,"RT @p_sahibsingh: बापू आपके सत्याग्रह का बना दिया है केजरीवाल ने सोफे पर लेट कर मज़ाक

आप ही केजरीवाल को सद्बुद्धि दें कि समस्याओं से ना भा…"
223,223,"RT @KapilMishra_IND: IAS Association is exposing every single lie of Kejriwal with evidence and facts.

Kejriwal is not only an Habitual Li…"
224,224,Now what Mr. @ArvindKejriwal have to say? All IAS people are working and this CM is lying day after day.  What a sh… https://t.co/a61GndpB8W
225,225,Latest Stats = 27 Followers and 12 Unfollowers (tracked by https://t.co/ZIgtIQhsJR)
226,226,Lol lol lol. He is more than happy for united opposition as this will be his master stroke to unite entire india to… https://t.co/jviDPG0gI5
227,227,"So hence proved, @BeingSalmanKhan bhai jaan, please reduce weight and get into slim mode as per your fans demand 🙏🙏… https://t.co/cg2BkoSPFU"
228,228,#RACE3 might be making the moolah at the box office however i would ADVICE bhai fans that they MUST bash such movie… https://t.co/zhn6KJTGZD
